"","ISO","year","best","armconf1"
"1","AFG",2000,3,1
"2","AFG",2001,441,1
"3","AFG",2002,30,1
"4","AFG",2003,19,1
"5","AFG",2004,3,1
"6","AFG",2005,2,1
"7","AFG",2006,4,1
"8","AFG",2007,1,1
"9","AFG",2008,8,1
"10","AFG",2009,16,1
"11","AFG",2010,7,1
"12","AFG",2011,2,1
"13","AFG",2012,2,1
"14","AFG",2013,16,1
"15","AFG",2014,1,1
"16","AFG",2015,1,1
"17","AFG",2016,0,0
"18","AFG",2017,6,1
"19","AFG",2018,12,1
"20","AFG",2019,NA,NA
"21","ALB",2000,NA,NA
"22","ALB",2001,NA,NA
"23","ALB",2002,NA,NA
"24","ALB",2003,NA,NA
"25","ALB",2004,NA,NA
"26","ALB",2005,NA,NA
"27","ALB",2006,NA,NA
"28","ALB",2007,NA,NA
"29","ALB",2008,NA,NA
"30","ALB",2009,NA,NA
"31","ALB",2010,NA,NA
"32","ALB",2011,NA,NA
"33","ALB",2012,NA,NA
"34","ALB",2013,NA,NA
"35","ALB",2014,NA,NA
"36","ALB",2015,NA,NA
"37","ALB",2016,NA,NA
"38","ALB",2017,NA,NA
"39","ALB",2018,NA,NA
"40","ALB",2019,NA,NA
"41","DZA",2000,5,1
"42","DZA",2001,4,1
"43","DZA",2002,3,1
"44","DZA",2003,2,1
"45","DZA",2004,2,1
"46","DZA",2005,0,0
"47","DZA",2006,1,1
"48","DZA",2007,6,1
"49","DZA",2008,4,1
"50","DZA",2009,3,1
"51","DZA",2010,10,1
"52","DZA",2011,1,1
"53","DZA",2012,3,1
"54","DZA",2013,9,1
"55","DZA",2014,3,1
"56","DZA",2015,1,1
"57","DZA",2016,1,1
"58","DZA",2017,0,0
"59","DZA",2018,8,1
"60","DZA",2019,NA,NA
"61","AND",2000,NA,NA
"62","AND",2001,NA,NA
"63","AND",2002,NA,NA
"64","AND",2003,NA,NA
"65","AND",2004,NA,NA
"66","AND",2005,NA,NA
"67","AND",2006,NA,NA
"68","AND",2007,NA,NA
"69","AND",2008,NA,NA
"70","AND",2009,NA,NA
"71","AND",2010,NA,NA
"72","AND",2011,NA,NA
"73","AND",2012,NA,NA
"74","AND",2013,NA,NA
"75","AND",2014,NA,NA
"76","AND",2015,NA,NA
"77","AND",2016,NA,NA
"78","AND",2017,NA,NA
"79","AND",2018,NA,NA
"80","AND",2019,NA,NA
"81","AGO",2000,0,0
"82","AGO",2001,19,1
"83","AGO",2002,47,1
"84","AGO",2003,3,1
"85","AGO",2004,0,0
"86","AGO",2005,4,1
"87","AGO",2006,0,0
"88","AGO",2007,25,1
"89","AGO",2008,1,1
