"","Year","ISO","drought","earthquake"
"1",2000,"AFG",1,0
"2",2000,"ARM",1,0
"3",2000,"AZE",1,1
"4",2000,"BGD",0,1
"5",2000,"BGR",1,0
"6",2000,"BIH",1,0
"7",2000,"BOL",1,0
"8",2000,"CHN",1,1
"9",2000,"COL",0,1
"10",2000,"CUB",1,0
"11",2000,"CYP",1,0
"12",2000,"GEO",1,0
"13",2000,"GRC",0,1
"14",2000,"HND",1,0
"15",2000,"IDN",0,1
"16",2000,"IND",1,0
"17",2000,"IRN",0,1
"18",2000,"ISL",0,1
"19",2000,"JAM",1,0
"20",2000,"JOR",1,0
"21",2000,"JPN",0,1
"22",2000,"MDA",1,0
"23",2000,"MDG",1,0
"24",2000,"MEX",0,1
"25",2000,"MNG",1,0
"26",2000,"NIC",1,1
"27",2000,"PNG",0,1
"28",2000,"ROU",1,0
"29",2000,"RUS",0,1
"30",2000,"TJK",1,1
"31",2000,"TKM",0,1
"32",2000,"TUR",0,1
"33",2000,"TZA",0,1
"34",2000,"USA",1,1
"35",2000,"UZB",1,0
"36",2001,"AFG",0,1
"37",2001,"AGO",1,0
"38",2001,"BFA",1,0
"39",2001,"BRA",1,0
"40",2001,"CHN",1,1
"41",2001,"CMR",1,0
"42",2001,"GRC",0,1
"43",2001,"GTM",1,1
"44",2001,"HND",1,0
"45",2001,"IDN",0,1
"46",2001,"IND",0,1
"47",2001,"IRN",0,1
"48",2001,"JPN",0,1
"49",2001,"KHM",1,0
"50",2001,"KOR",1,0
"51",2001,"LKA",1,0
"52",2001,"MLI",1,0
"53",2001,"MOZ",1,0
"54",2001,"MRT",1,0
"55",2001,"NAM",1,0
"56",2001,"NER",1,0
"57",2001,"NIC",1,0
"58",2001,"PAK",0,1
"59",2001,"PER",0,1
"60",2001,"PNG",0,1
"61",2001,"SLV",1,1
"62",2001,"SWZ",1,0
"63",2001,"TCD",1,0
"64",2001,"TUR",0,1
"65",2001,"TZA",0,1
"66",2001,"USA",0,1
"67",2001,"ZWE",1,0
"68",2002,"AFG",0,1
"69",2002,"ARG",0,1
"70",2002,"AUS",1,0
"71",2002,"BRA",1,0
"72",2002,"CHN",1,1
"73",2002,"CPV",1,0
"74",2002,"EGY",0,1
"75",2002,"GEO",0,1
"76",2002,"GMB",1,0
"77",2002,"GNB",1,0
"78",2002,"GRC",0,1
"79",2002,"HND",1,0
"80",2002,"IDN",0,1
"81",2002,"IND",1,1
"82",2002,"IRN",0,1
"83",2002,"ITA",1,1
"84",2002,"KHM",1,0
"85",2002,"LSO",1,0
"86",2002,"MDG",1,0
"87",2002,"MEX",1,0
"88",2002,"MWI",1,0
"89",2002,"NAM",1,0
"90",2002,"PAK",0,1
"91",2002,"PER",1,0
"92",2002,"PHL",1,1
"93",2002,"PNG",0,1
"94",2002,"RWA",0,1
"95",2002,"SCG",0,1
"96",2002,"SEN",1,0
"97",2002,"THA",1,0
"98",2002,"TJK",0,1
"99",2002,"TUR",0,1
"100",2002,"TWN",0,1
"101",2002,"TZA",0,1
"102",2002,"UGA",1,0
"103",2002,"USA",1,0
"104",2002,"VNM",1,0
"105",2002,"VUT",0,1
"106",2003,"AFG",0,1
"107",2003,"ARG",1,0
"108",2003,"BDI",1,0
"109",2003,"BGD",0,1
"110",2003,"BIH",1,0
"111",2003,"CHN",1,1
"112",2003,"CRI",0,1
"113",2003,"DOM",0,1
"114",2003,"DZA",0,1
"115",2003,"ETH",1,0
"116",2003,"GRC",0,1
"117",2003,"HRV",1,0
"118",2003,"HTI",1,0
"119",2003,"HUN",1,0
"120",2003,"IDN",1,1
"121",2003,"IRN",0,1
"122",2003,"ITA",0,1
"123",2003,"JPN",0,1
"124",2003,"KAZ",0,1
"125",2003,"MEX",0,1
"126",2003,"MOZ",1,0
"127",2003,"PAN",0,1
"128",2003,"RUS",1,1
"129",2003,"RWA",1,0
"130",2003,"TUR",0,1
"131",2003,"TZA",1,0
"132",2003,"USA",0,1
"133",2004,"AFG",0,1
"134",2004,"AGO",1,0
"135",2004,"BDI",0,1
"136",2004,"BGD",0,1
"137",2004,"BOL",1,0
"138",2004,"BRA",1,0
"139",2004,"CHN",0,1
"140",2004,"COL",0,1
"141",2004,"CRI",0,1
"142",2004,"CUB",1,0
"143",2004,"DEU",0,1
"144",2004,"DMA",0,1
"145",2004,"DZA",0,1
"146",2004,"GLP",0,1
"147",2004,"HND",1,0
"148",2004,"IDN",0,1
"149",2004,"IND",0,1
"150",2004,"IRN",0,1
"151",2004,"JPN",0,1
"152",2004,"KEN",1,1
"153",2004,"LKA",0,1
"154",2004,"MAR",0,1
"155",2004,"MDV",0,1
"156",2004,"MMR",0,1
"157",2004,"MYS",0,1
"158",2004,"PAK",0,1
"159",2004,"PER",1,0
"160",2004,"PRT",1,0
"161",2004,"RUS",0,1
"162",2004,"SOM",1,1
"163",2004,"SVN",0,1
"164",2004,"SYC",0,1
"165",2004,"THA",0,1
"166",2004,"TJK",0,1
"167",2004,"TUR",0,1
"168",2004,"TZA",1,1
"169",2004,"ZAF",1,0
"170",2005,"AFG",0,1
"171",2005,"BDI",1,0
"172",2005,"BRA",1,0
"173",2005,"CHL",0,1
"174",2005,"CHN",1,1
"175",2005,"CMR",1,0
"176",2005,"COD",0,1
"177",2005,"DJI",1,0
"178",2005,"ETH",1,0
"179",2005,"IDN",0,1
"180",2005,"IND",0,1
"181",2005,"IRN",0,1
"182",2005,"JPN",0,1
"183",2005,"KEN",1,0
"184",2005,"KHM",1,0
"185",2005,"MDG",1,0
"186",2005,"MLI",1,0
"187",2005,"MOZ",1,0
"188",2005,"MWI",1,0
"189",2005,"NER",1,0
"190",2005,"PAK",0,1
"191",2005,"PER",0,1
"192",2005,"PNG",0,1
"193",2005,"PRY",1,0
"194",2005,"SLV",0,1
"195",2005,"SOM",1,0
"196",2005,"THA",1,0
"197",2005,"TUR",0,1
"198",2005,"TZA",0,1
"199",2005,"UGA",1,0
"200",2005,"VNM",1,0
"201",2005,"ZAF",0,1
"202",2005,"ZMB",1,0
"203",2006,"AFG",1,1
"204",2006,"AUS",1,0
"205",2006,"BGR",0,1
"206",2006,"CHN",1,1
"207",2006,"DZA",0,1
"208",2006,"GNB",1,0
"209",2006,"IDN",0,1
"210",2006,"IRN",0,1
"211",2006,"KGZ",0,1
"212",2006,"LTU",1,0
"213",2006,"MLI",1,0
"214",2006,"MOZ",0,1
"215",2006,"NPL",1,0
"216",2006,"PER",1,0
"217",2006,"RUS",0,1
"218",2006,"SLV",0,1
"219",2006,"TJK",0,1
"220",2006,"TWN",0,1
"221",2006,"TZA",1,0
"222",2006,"USA",0,1
"223",2007,"BRA",1,1
"224",2007,"BRB",0,1
"225",2007,"CHL",0,1
"226",2007,"CHN",0,1
"227",2007,"COL",0,1
"228",2007,"DJI",1,0
"229",2007,"GBR",0,1
"230",2007,"HND",0,1
"231",2007,"IDN",0,1
"232",2007,"JPN",0,1
"233",2007,"LCA",0,1
"234",2007,"LSO",1,0
"235",2007,"MDA",1,0
"236",2007,"MOZ",1,0
"237",2007,"MTQ",0,1
"238",2007,"MWI",1,0
"239",2007,"PER",0,1
"240",2007,"PHL",1,0
"241",2007,"RUS",0,1
"242",2007,"SLB",0,1
"243",2007,"SWZ",1,0
"244",2007,"TJK",0,1
"245",2007,"TLS",1,0
"246",2007,"USA",1,0
"247",2007,"ZWE",1,0
"248",2008,"AFG",1,0
"249",2008,"BDI",1,0
"250",2008,"BOL",1,0
"251",2008,"CHN",1,1
"252",2008,"COD",0,1
"253",2008,"COL",0,1
"254",2008,"DJI",1,0
"255",2008,"ERI",1,0
"256",2008,"ETH",1,0
"257",2008,"GRC",0,1
"258",2008,"IDN",0,1
"259",2008,"IRN",0,1
"260",2008,"JPN",0,1
"261",2008,"KEN",1,0
"262",2008,"KGZ",0,1
"263",2008,"MDG",1,0
"264",2008,"MOZ",1,0
"265",2008,"PAK",0,1
"266",2008,"PRY",1,0
"267",2008,"RUS",0,1
"268",2008,"RWA",0,1
"269",2008,"SOM",1,0
"270",2008,"SYR",1,0
"271",2008,"THA",1,0
"272",2008,"TJK",1,0
"273",2008,"UGA",1,0
"274",2008,"USA",0,1
"275",2009,"AFG",0,1
"276",2009,"ALB",0,1
"277",2009,"ARG",1,0
"278",2009,"ASM",0,1
"279",2009,"BDI",1,0
"280",2009,"BGD",1,0
"281",2009,"BTN",0,1
"282",2009,"CHN",1,1
"283",2009,"CRI",0,1
"284",2009,"ECU",1,0
"285",2009,"ETH",1,0
"286",2009,"GEO",0,1
"287",2009,"GTM",1,0
"288",2009,"HND",1,1
"289",2009,"IDN",0,1
"290",2009,"IND",1,0
"291",2009,"IRN",0,1
"292",2009,"ITA",0,1
"293",2009,"JPN",0,1
"294",2009,"KGZ",1,0
"295",2009,"MWI",0,1
"296",2009,"NER",1,0
"297",2009,"NPL",1,0
"298",2009,"PHL",0,1
"299",2009,"PRY",1,0
"300",2009,"SLV",1,0
"301",2009,"SSD",1,0
"302",2009,"TCD",1,0
"303",2009,"TON",0,1
"304",2009,"VEN",1,0
"305",2009,"WSM",0,1
"306",2010,"AFG",0,1
"307",2010,"BDI",1,0
"308",2010,"BOL",1,0
"309",2010,"BRA",1,0
"310",2010,"BRB",1,0
"311",2010,"CHL",0,1
"312",2010,"CHN",1,1
"313",2010,"DJI",1,0
"314",2010,"ETH",1,0
"315",2010,"GRD",1,0
"316",2010,"GUY",1,0
"317",2010,"HTI",0,1
"318",2010,"IDN",0,1
"319",2010,"IRN",0,1
"320",2010,"KEN",1,0
"321",2010,"LCA",1,0
"322",2010,"MEX",0,1
"323",2010,"MLI",1,0
"324",2010,"MOZ",1,0
"325",2010,"MRT",1,0
"326",2010,"NZL",0,1
"327",2010,"RUS",1,0
